Time Passed (days),Orbital Period (days),X Position (m),Y Position (m),Eccentric Anomaly,Orbital Radius (m),Orbital Velocity (m/s),Potential Energy (J),Kinetic Energy (J),Total Mechanical Energy (J)
16.450923708925124,365.21050633813775,140950172803.56305,42452174976.04172,0.2877660055793128,147204410170.1805,30030.31188553662,-5.383863202697334e+33,2.691931601348667e+33,-2.691931601348667e+33
16.816499791345684,365.21050633813775,140675863739.6601,43368057727.64864,0.2941577355433805,147208991131.54767,30029.8446288569,-5.383695663546715e+33,2.6918478317733574e+33,-2.6918478317733574e+33
17.18207587376624,365.21050633813775,140395714329.96216,44282139997.24698,0.30054926448977926,147213669626.68964,30029.367446273165,-5.383524568063044e+33,2.6917622840315224e+33,-2.691762284031521e+33
17.5476519561868,365.21050633813775,140109736760.93002,45194384010.77751,0.30694058820116454,147218445452.09247,30028.88035996217,-5.383349924367344e+33,2.691674962183672e+33,-2.691674962183672e+33
17.913228038607357,365.21050633813775,139817943470.1886,46104752081.41798,0.3133317024699311,147223318400.04785,30028.383392553747,-5.383171740746079e+33,2.69158587037304e+33,-2.691585870373039e+33
18.278804121027914,365.21050633813775,139520347145.8338,47013206611.360374,0.319722603098559,147228288258.66458,30027.87656712926,-5.382990025650581e+33,2.6914950128252905e+33,-2.6914950128252905e+33
18.644380203448474,365.21050633813775,139216960725.7894,47919710093.392166,0.32611328589861754,147233354811.8793,30027.35990722023,-5.38280478769649e+33,2.691402393848245e+33,-2.691402393848245e+33
19.00995628586903,365.21050633813775,138907797396.91876,48824225113.164116,0.3325037466946557,147238517839.47147,30026.83343680645,-5.382616035663055e+33,2.691308017831528e+33,-2.691308017831527e+33
19.37553236828959,365.21050633813775,138592870594.556,49726714350.15909,0.33889398131897797,147243777117.07092,30026.29718031486,-5.382423778492687e+33,2.6912118892463435e+33,-2.6912118892463435e+33
19.741108450710147,365.21050633813775,138272194001.63953,50627140579.81643,0.34528398561460166,147249132416.1726,30025.751162617722,-5.382228025290255e+33,2.691114012645127e+33,-2.691114012645128e+33
20.106684533130707,365.21050633813775,137945781547.822,51525466675.63195,0.3516737554381257,147254583504.15137,30025.195409030755,-5.382028785322374e+33,2.691014392661188e+33,-2.6910143926611866e+33
20.472260615551267,365.21050633813775,137613647408.96353,52421655610.14727,0.35806328665475595,147260130144.2703,30024.6299453119,-5.381826068016933e+33,2.6909130340084664e+33,-2.6909130340084664e+33
20.837836697971824,365.21050633813775,137275806006.18147,53315670457.14549,0.36445257514193785,147265772095.69678,30024.05479765935,-5.381619882962324e+33,2.690809941481162e+33,-2.690809941481162e+33
21.203412780392384,365.21050633813775,136932272005.11339,54207474393.202095,0.370841616788462,147271509113.51462,30023.469992709946,-5.381410239906833e+33,2.690705119953417e+33,-2.690705119953416e+33
21.56898886281294,365.21050633813775,136583060315.10672,55097030699.4002,0.3772304074947864,147277340948.7377,30022.875557537376,-5.381197148757951e+33,2.690598574378975e+33,-2.690598574378976e+33
21.934564945233497,365.21050633813775,136228186088.40202,55984302763.02015,0.38361894317322626,147283267348.3237,30022.27151965045,-5.380980619581699e+33,2.6904903097908495e+33,-2.6904903097908495e+33
22.300141027654057,365.21050633813775,135867664719.30324,56869254079.221375,0.39000721974814045,147289288055.18762,30021.65790699129,-5.380760662601944e+33,2.690380331300972e+33,-2.690380331300972e+33
22.665717110074613,365.21050633813775,135501511843.33627,57751848252.7173,0.3963952331561197,147295402808.21628,30021.034747933492,-5.380537288199683e+33,2.690268644099841e+33,-2.690268644099842e+33
23.031293192495173,365.21050633813775,135129743336.3941,58632048999.44245,0.40278297934617185,147301611342.28223,30020.40207128031,-5.380310506912346e+33,2.6901552534561736e+33,-2.6901552534561725e+33
23.396869274915733,365.21050633813775,134752375313.87,59509820148.212074,0.40917045427990767,147307913388.25836,30019.759906262756,-5.380080329433075e+33,2.6900401647165377e+33,-2.6900401647165377e+33
23.76244535733629,365.21050633813775,134369424129.77834,60385125642.37403,0.4155576539317251,147314308673.03268,30019.10828253771,-5.379846766609984e+33,2.6899233833049915e+33,-2.6899233833049926e+33
24.12802143975685,365.21050633813775,133980906375.86298,61257929541.45289,0.42194457428899274,147320796919.5231,30018.447230186,-5.379609829445426e+33,2.6898049147227125e+33,-2.6898049147227136e+33
24.493597522177406,365.21050633813775,133586838880.69345,62128196022.78598,0.42833121135223257,147327377846.6924,30017.77677971046,-5.379369529095251e+33,2.6896847645476256e+33,-2.6896847645476256e+33
24.859173604597967,365.21050633813775,133187238708.74931,62995889383.15176,0.43471756113530186,147334051169.56387,30017.096962033924,-5.379125876868034e+33,2.689562938434017e+33,-2.689562938434017e+33
25.224749687018523,365.21050633813775,132782123159.4921,63860974040.38959,0.4411036196655738,147340816599.23648,30016.407808497257,-5.378878884224311e+33,2.6894394421121554e+33,-2.6894394421121554e+33
25.590325769439083,365.21050633813775,132371509766.42549,64723414535.011696,0.4474893829841178,147347673842.9007,30015.70935085733,-5.378628562775812e+33,2.689314281387905e+33,-2.6893142813879064e+33
25.95590185185964,365.21050633813775,131955416296.14375,65583175531.80663,0.4538748471458779,147354622603.8544,30015.001621284955,-5.378374924284659e+33,2.6891874621423294e+33,-2.6891874621423294e+33
26.3214779342802,365.21050633813775,131533860747.36815,66440221821.4344,0.4602600082198518,147361662581.51895,30014.28465236283,-5.378117980662585e+33,2.689058990331293e+33,-2.689058990331292e+33
26.687054016700756,365.21050633813775,131106861349.97192,67294518322.01297,0.4666448622892669,147368793471.45547,30013.558477083425,-5.377857743970119e+33,2.6889288719850593e+33,-2.6889288719850593e+33
27.052630099121316,365.21050633813775,130674436563.9934,68146030080.69628,0.47302940545175737,147376014965.38132,30012.823128846892,-5.377594226415778e+33,2.68879711320789e+33,-2.6887971132078886e+33
27.418206181541873,365.21050633813775,130236605078.63783,68994722275.24365,0.4794136338195389,147383326751.18674,30012.0786414589,-5.377327440355246e+33,2.688663720177624e+33,-2.6886637201776227e+33
27.78378226396243,365.21050633813775,129793385811.26776,69840560215.58012,0.48579754351958315,147390728512.95184,30011.32504912846,-5.377057398290539e+33,2.6885286991452693e+33,-2.6885286991452693e+33
28.14935834638299,365.21050633813775,129344797906.38177,70683509345.34814,0.4921811306937908,147398219930.9634,30010.562386465783,-5.37678411286917e+33,2.688392056434585e+33,-2.688392056434585e+33
28.514934428803546,365.21050633813775,128890860734.56378,71523535243.48483,0.4985643914994266,147405800681.7328,30009.79068847998,-5.376507596883287e+33,2.6882537984416436e+33,-2.6882537984416436e+33
28.880510511224106,365.21050633813775,128431593891.5334,72360603625.5828,0.5049473221079765,147413470438.0114,30009.009990577037,-5.376227863268878e+33,2.688113931634439e+33,-2.688113931634439e+33
29.246086593644662,365.21050633813775,127967017196.90341,73194680345.76001,0.5113299187079464,147421228868.8117,30008.22032855721,-5.375944925104789e+33,2.687972462552394e+33,-2.687972462552395e+33
29.611662676065226,365.21050633813775,127497150693.30266,74025731397.82977,0.517712177502403,147429075639.42184,30007.421738613088,-5.375658795611966e+33,2.687829397805983e+33,-2.687829397805983e+33
29.97723875848578,365.21050633813775,127022014645.20547,74853722916.97896,0.5240940947104548,147437010411.42505,30006.61425732712,-5.375369488152522e+33,2.687684744076262e+33,-2.6876847440762606e+33
30.342814840906343,365.21050633813775,126541629537.86354,75678621181.23055,0.5304756665671589,147445032842.71768,30005.797921669327,-5.375077016228851e+33,2.687538508114425e+33,-2.6875385081144263e+33
30.7083909233269,365.21050633813775,126056016076.20808,76500392612.92998,0.5368568893236844,147453142587.5273,30004.972768995,-5.374781393482745e+33,2.687390696741373e+33,-2.687390696741372e+33
31.07396700574746,365.21050633813775,125565195183.74168,77319003780.22311,0.5432377592474791,147461339296.43152,30004.138837042272,-5.374482633694476e+33,2.687241316847238e+33,-2.687241316847238e+33
31.439543088168016,365.21050633813775,125069188001.41925,78134421398.52382,0.5496182726224326,147469622616.3763,30003.296163929805,-5.374180750781895e+33,2.6870903753909476e+33,-2.6870903753909476e+33
31.805119170588572,365.21050633813775,124568015886.51906,78946612331.97195,0.5559984257490391,147477992190.69513,30002.444788154342,-5.37387575879951e+33,2.6869378793997556e+33,-2.6869378793997545e+33
32.17069525300913,365.21050633813775,124061700411.5032,79755543594.88185,0.5623782149445598,147486447659.1279,30001.5847485883,-5.373567671937555e+33,2.6867838359687774e+33,-2.6867838359687774e+33
32.53627133542969,365.21050633813775,123550263362.86783,80561182353.18036,0.568757636543182,147494988657.8401,30000.71608447735,-5.373256504521065e+33,2.6866282522605325e+33,-2.6866282522605325e+33
32.90184741785025,365.21050633813775,123033726739.98349,81363495925.83562,0.5751366868961806,147503614819.4423,29999.83883543791,-5.372942271008925e+33,2.6864711355044624e+33,-2.6864711355044624e+33
33.2674235002708,365.21050633813775,122512112753.92531,82162451786.27495,0.5815153623720745,147512325773.00943,29998.95304145473,-5.372624985992935e+33,2.686312492996467e+33,-2.686312492996468e+33
33.63299958269137,365.21050633813775,121985443826.29355,82958017563.7935,0.587893659356785,147521121144.1009,29998.058742878326,-5.372304664196838e+33,2.686152332098419e+33,-2.686152332098419e+33
33.99857566511192,365.21050633813775,121453742588.0239,83750161044.95212,0.5942715742537917,147530000554.78,29997.155980422514,-5.371981320475376e+33,2.685990660237688e+33,-2.685990660237688e+33
34.36415174753248,365.21050633813775,120917031878.1886,84538850174.96506,0.6006491034842873,147538963623.63425,29996.244795161852,-5.371654969813309e+33,2.6858274849066545e+33,-2.6858274849066545e+33
34.72972782995304,365.21050633813775,120375334742.78775,85324053059.07748,0.6070262434873313,147548009965.79544,29995.325228529095,-5.371325627324447e+33,2.6856628136622233e+33,-2.6856628136622233e+33
35.0953039123736,365.21050633813775,119828674433.53096,86105737963.93259,0.6134029907200027,147557139192.96002,29994.397322312616,-5.370993308250664e+33,2.6854966541253313e+33,-2.6854966541253325e+33
35.460879994794155,365.21050633813775,119277074406.61009,86883873318.92809,0.6197793416575514,147566350913.4096,29993.46111865383,-5.370658027960909e+33,2.6853290139804545e+33,-2.6853290139804545e+33
35.826456077214715,365.21050633813775,118720558321.46227,87658427717.56221,0.626155292793549,147575644732.0316,29992.516660044585,-5.37031980195022e+33,2.6851599009751106e+33,-2.6851599009751095e+33
36.192032159635275,365.21050633813775,118159150039.52399,88429369918.76917,0.6325308406400368,147585020250.33997,29991.563989324528,-5.369978645838715e+33,2.684989322919357e+33,-2.6849893229193583e+33
36.55760824205583,365.21050633813775,117592873622.976,89196668848.24399,0.6389059817276752,147594477066.4963,29990.603149678493,-5.369634575370589e+33,2.684817287685294e+33,-2.684817287685295e+33
36.92318432447639,365.21050633813775,117021753333.47955,89960293599.75638,0.6452807126058889,147604014775.3309,29989.634184633815,-5.369287606413098e+33,2.684643803206549e+33,-2.684643803206549e+33
37.28876040689695,365.21050633813775,116445813630.9034,90720213436.45401,0.6516550298430132,147613632968.36392,29988.65713805768,-5.368937754955547e+33,2.6844688774777737e+33,-2.6844688774777737e+33
37.65433648931751,365.21050633813775,115865079172.04222,91476397792.15489,0.6580289300264384,147623331233.8269,29987.67205415443,-5.368585037108263e+33,2.6842925185541315e+33,-2.6842925185541315e+33
