Time Passed (days),Orbital Period (days),Barycentric X Position of Alpha A (m),Barycentric Y Position of Alpha A (m),Barycentric X Position of Alpha B (m),Barycentric Y Position of Alpha B (m),Scalar Distance Between Both Masses (m),Radius of Alpha A from the Barycenter (m),Radius of Alpha B from the Barycenter (m),Orbital Velocity of Alpha A (m/s),Orbital Velocity of Alpha B (m/s),Kinetic Energy of Alpha A (J),Kinetic Energy of Alpha B (J),Relative Kinetic Energy Within the System (J),Gravitational Potential Energy (J),Total Mechanical Energy Within the System (J),Acceleration of Alpha A (m/s/s),Acceleration of Alpha B (m/s/s),Relative Net Acceleration (m/s/s)
15082.050470644795,29143.0723794471,-2398491545357.104,-97711522759.44637,2902042256537.049,118225544112.2583,5304930480399.497,2400481042380.7725,2904449438018.7246,7339.110934505738,6672.071356548527,5.897949149333495e+37,4.0287465249122145e+37,9.92669567424571e+37,-4.987107346222503e+37,-3.779465395714286e+37,4.292644314049814e-06,5.19386245733099e-06,9.486506771380804e-06
15111.222715268867,29143.0723794471,-2397458958911.847,-103264557389.56096,2900792883987.262,124944409217.20357,5303164331153.951,2399681859847.163,2903482471306.788,7344.1560028175445,6676.657886998255,5.906060699612447e+37,4.0342873288714487e+37,9.940348028483895e+37,-4.988768236839307e+37,-3.779465395714286e+37,4.29550400780789e-06,5.197322528784132e-06,9.492826536592022e-06
15140.39495989294,29143.0723794471,-2396369656230.141,-108812533794.54225,2899474887924.867,131657154149.19754,5301301265413.628,2398838822599.6665,2902462442813.9614,7349.477802514277,6681.495997177907,5.914623224676684e+37,4.0401361828075483e+37,9.954759407484232e+37,-4.990521467361991e+37,-3.779465395714286e+37,4.298523723982832e-06,5.200976218520664e-06,9.499499942503496e-06
15169.56720451701,29143.0723794471,-2395223741925.681,-114355184459.35077,2898088394926.653,138363455229.8222,5299341476919.049,2397952018305.8696,2901389458613.179,7355.075766451932,6686.5851714902665,5.923636778562209e+37,4.046293123631213e+37,9.969929902193421e+37,-4.9923670488547645e+37,-3.779465395714286e+37,4.301703649293122e-06,5.204823752459634e-06,9.506527401752757e-06
15198.739449141081,29143.0723794471,-2394021325924.7295,-119892242791.52107,2896633537997.325,145062989896.9233,5297285169260.862,2397021539090.54,2900263630170.3223,7360.94929985354,6691.92486921664,5.9331014181540675e+37,4.052758190199233e+37,9.9858596083533e+37,-4.994304992965195e+37,-3.779465395714286e+37,4.305043980322486e-06,5.208865368456488e-06,9.513909348778974e-06
15227.91169376515,29143.0723794471,-2392762523436.7764,-125423443166.08665,2895110456534.0,151755436758.96674,5295132555827.24,2396047481511.826,2899085074315.414,7367.097780637341,6697.514524815253,5.943017203187144e+37,4.0595314233150713e+37,1.0002548626502216e+38,-4.996335311924374e+37,-3.779465395714286e+37,4.308544923525744e-06,5.213101316310155e-06,9.521646239835898e-06
15257.083938389222,29143.0723794471,-2391447454923.8276,-130948520970.1433,2893519296289.051,158440475648.9579,5292883859748.844,2395029946536.352,2897853913212.4917,7373.520559758247,6703.353548231642,5.953384196246944e+37,4.066612865729372e+37,1.0019997061976315e+38,-4.998458018547075e+37,-3.779465395714286e+37,4.312206695234943e-06,5.2175318577704555e-06,9.529738553005397e-06
15286.256183013295,29143.0723794471,-2390076246068.349,-136467212647.05461,2891860209331.317,165117787677.92792,5290539313841.359,2393969039513.2153,2896570274328.144,7380.216961562187,6709.441325220804,5.964202462770457e+37,4.074002562140554e+37,1.003820502491101e+38,-5.000673126231931e+37,-3.779465395714286e+37,4.316029521665782e-06,5.222157266545891e-06,9.538186788211674e-06
15315.428427637366,29143.0723794471,-2388649027739.8643,-141979255740.26614,2890133354005.692,171787055287.94632,5288099160545.644,2392864870146.904,2895234290398.7397,7387.186284152894,6715.777217680663,5.975472071047042e+37,4.081700559195436e+37,1.0057172630242478e+38,-5.002980648961612e+37,-3.779465395714286e+37,4.320013638924354e-06,5.2269778283117875e-06,9.54699146723614e-06
15344.600672261437,29143.0723794471,-2387165935960.25,-147484388936.72748,2888338894891.131,178447962304.65924,5285563651865.522,2391717552469.149,2893846099396.3735,7394.427799770648,6722.360563996364,5.987193092219297e+37,4.0897069054898037e+37,1.00768999977091e+38,-5.005380601303014e+37,-3.779465395714286e+37,4.324159293014134e-06,5.231993840718759e-06,9.556153133732892e-06
